sequence_sha256,length,label,source_class,cluster_id,split
3701dfc0aef7525f1e4fb14613bb60a3525151892222b1c9514be33517707ce5,19,amp,independent,55,train
1245b631b251495b68fa4b96330bb2d4c6609e503cc66082ca2f5e4a8d04fc84,19,amp,independent,55,train
9f9096fe7aaf9294fc22010317f609df1fd29ffa3d49572aeda1ce2916d1a173,20,amp,independent,56,train
6c6cb3db2f9579053667dcbeeff714666f5c362e8fd6226888395e170f84afd1,15,amp,independent,57,train
ddeb7d598ddfd4d5f796627db15926b3d43ebb254c6e9b244290772ff0b4f9a0,18,amp,independent,58,train
2b074704712b710f548f6bc0c4a5faff17c10a4ee59cf921fa7519b84609b0ab,12,amp,independent,59,train
6f0a6f92ff470cb36a8004ad31c30988ab4ae814ff92668bfae8daa239f03ece,17,amp,independent,60,train
de3ed04b182623fd913c668e3605019c59821710f36eeebb6077e7d335eee93d,10,amp,independent,61,train
3487067bbdc05b91b616420ad801088c438465619fa0d46a5f064faa42fc2991,26,amp,independent,62,train
c2ad09a550b69f41a8ce43de2b0e4cfaa6a22e1d74efe88fc9961588ce1f34ea,14,amp,independent,63,test
255f3562fe5b1322502ac2f67c1bad21161324284e5fad6bc823a82ca37c1a37,12,amp,independent,64,train
dc116c5e36fc1f9c39975097e0675c01ab38fc4789faea7f92ba5cfcf1bea4b4,12,amp,independent,65,train
863a5d2b3a0db4d1462a9230619e59678aeee599064ba071538d2dcc819e00a2,12,amp,independent,66,train
2d8aa18961e2ad63bda1957c67d5d509767be2f11f7e3f43507de6dcdbdccc08,18,amp,independent,67,test
5e298f09a5c20ab0c3bd242529fa46e4c01c8ab4290d71d7cc59a292576986c6,17,amp,independent,68,train
6463b896f3924946db3fe6e6c53b206aed79dd6d0fe0f62b00f5c015e9b8cfbc,15,amp,independent,41,train
af4e207378b4359cca1fc98bfaedef68b96caa3778f5326bcbf1630b121183da,15,amp,independent,41,train
2fc2b401140d9f4e794374b7876421ad53aa55e5f87c8123878afdefbd5911b4,26,amp,independent,69,train
4fafea141ff2a1f4099b68b37e2ce9cd348700592e086f3d235ad6367f22cd4a,17,amp,independent,70,train
78fefb7d22cea15fb7b9651175fb09efe6e75745748182c6da1b6137ed08de76,22,amp,independent,71,train
ad785d080fc739d4e4245944ffc71f5844a61c1add4ac1e074dd2f3c03c5486e,22,amp,independent,71,train
3435380c71f87a709116ccdb542ab23fdea7972680ac5a9f01d0884dfa8da829,21,amp,independent,72,train
3a1907709160404f5277e938982ff8519412353407275cf177cd9aeceb4bbf73,24,amp,independent,73,train
26d4e983a714f5a2c71c9874fc44504cd2be80b1e7bed9c2cb8dcc0d864aa6bd,25,amp,independent,74,train
d011050cabf907415a35389697750364294ef4d7a28ebb4d44f3c5538f46cbba,24,amp,independent,75,train
a8c661b43aef02139101c601212635413f334540e1f9cd0f1505c1eba075e7e1,16,amp,independent,76,train
8abf922002a0d343a05a656d5dc27b516bb42ba770819b1149af7f502448f7f7,15,amp,independent,41,train
a2ce2ef96d75808fccb08d97dcac710d5005b18d9040a9beb09228dcae7ed21f,24,amp,independent,77,validation
7e4367db80c78d6abadd600424016ae961a9caf96416b3e309035298d259c66e,13,amp,independent,78,validation
21139fba962f39fcba9f2c6594a49626f1124ff6dea06421b6750e38bf294711,12,amp,independent,59,train
bf7625e05d4673ae760be3eea2e0f4d859460a83f10b2789f65e8a5886060fcc,13,amp,independent,78,validation
ae5784cd877e09a20a55230f8143130e6e754bb7de2de2396717613766838dab,17,amp,independent,79,train
f8566798c9ba83c232593643a248f3f428448520bc10735758dd2d76694e2b22,27,amp,independent,80,train
82ac2fc75d33f694346d82ef48a94108da70307195a94f86ca8d47deb6d15ebe,24,amp,independent,7,train
1a9388c0e574d0066ddd5bf570fef68467d1e3424bac30e65fb43a2a480aebf0,22,amp,independent,81,train
0d516e50845c184bf05b5018de4fe4f4384f3d2f137b54f032ab7e2b62e4c651,29,amp,independent,82,validation
eb6b660c88677985c179d5bb3d6eac6926e4faeee076b3daebc91be4b1236575,29,amp,independent,82,validation
ef81b7522f0d4a691818fd28373443603e24300a2929d2d3abd83b61fd1ad0b0,30,amp,independent,83,validation
118ef7af08abef9a9fb366cb155051703a7aa633ded3f6b9c49af546e324e324,16,amp,independent,84,train
d4c59405180c8064e9ffae33338c3cac5644f457026147c06aab7fb2de43ec52,29,amp,independent,85,train
8e49f5b2dde0c0c6f79cbbf0aa569acf720a3abb2e442fcca0678f5ed7f89fdb,29,amp,independent,85,train
f4e9fb7f706115142123039803559d9a968eab38aafabe1c8559dbed406001e1,26,amp,independent,69,train
d7898beab6a8bdff006853db2672b691b77592aa8b019a7acf1647d1e0c687de,29,amp,independent,86,train
a9e6a2485c8a980719e0404f12d32afbafe295cad9912c3f1a139d383c40f014,29,amp,independent,86,train
c5a22578d652f960d2ed60aaef1f3bb31b140acfd73aabf7933c899cad17d458,29,amp,independent,87,validation
afdc47069ef6275cd355364850ce756f3c651f27c1ad548efbfd9e04af9369d7,29,amp,independent,87,validation
bbe51292f50c5ebef499b8cf06dda4efe87e1b3fd8f0d6d5bac30443f2a00880,21,amp,independent,88,test
639fffa9e2a68aff33489a4c8b5c1760f0fa0350f9dbb0aedd8a04d6de19465f,23,amp,independent,89,train
60c20b1db7893e4d2f6c8fb5a26e73871521ff4670c4c5542daf5fddb037c766,22,amp,independent,90,train
4910f39b5e19bba48e0059bac522a5c1bb36d898a668a66127dced13c2f1ea82,19,amp,independent,91,validation
856219d7632bee30316af2e5dbda34ac761ed154d468452c63781922d275f7e5,20,amp,independent,13,train
e87cee76bd4c229b493d90ad4fa04497fb604c4f03fc981dce633c842bd064b6,23,amp,independent,49,train
f0ae31334669d37064a805c0e0d684ee66291a261547bbe511dc1437439233fd,25,amp,independent,50,train
ef75ac6a6834f462311dbdaac9d259b2252affbf1fb8366591029e4191beea5f,24,amp,independent,92,train
1d749cca487c7a51d884a7f35a433d6638e87f6ba1423fe439281c4290533530,23,amp,independent,93,test
22f9881ba0fcb8a579165a788dd5af7fb072a943a7749a0a4a42e6798b944d24,25,amp,independent,94,train
685303619fdcc752de1552ee580faafaae58db0b41fb5f16c47b6598e733dad1,6,amp,independent,95,train
eea59dd855c6d1ef44e4101da81f8ee2e81352056ec15d03b4c8fe6bc228acf7,26,amp,independent,54,validation
305b084b23d5c844fea471367787ad0c9a4ab4ab36c060bf356f328d422df646,26,amp,independent,54,validation
02bbdc7c18c1bee4aa0dc158153808819e21b54be29df96b43495d0bb8733bb8,26,amp,independent,54,validation
03a78f43c0aa0383e1c19613257f5c56797956f9ac26ad9e1ead28f2a2069b73,26,amp,independent,54,validation
9edd053a369d2bcd6b09ce543cdb810dc7d16767e88423fe9893acfafe974177,26,amp,independent,54,validation
d548a94163ab272b7cc1a2d2d14dbb5f66f0e514bf46fd4c3b521d8788b2e022,19,amp,independent,96,train
60a3d174d58137477ebcd07fad783a4e4ddc1799f55ba9e4c166109d5ab1d5f2,6,amp,independent,97,train
fa3c29fd5c973ef20a6b05efee82b7aee3a170aea15bc0df024395be1548bc56,21,amp,independent,72,train
66aeb261d84c1b93b2249c4cb5f617cb506cb1287c815b9a5db76640267b5b8b,29,amp,independent,98,train
29e17cc4e00f5dee154edf886757298f17c55e2fe69d537de300dfc29ede59f9,29,amp,independent,98,train
f0be70e41352501fbd1249fa8c367655f6d96856fa9c990590a107dd9099982d,21,amp,independent,72,train
008f41ba56b50ba19e7a7f456862565d4128836eaac087a1dfa254fedc6102b4,14,amp,independent,99,train
2d17fc28e391d5d38e9bedb740720dfe2971fe7488370c3817382f3cd13ac5fd,19,amp,independent,100,train
ba6debb115ad45a8a827d6e6ac940efa934464dec6adc43b188a83813db19bc5,23,amp,independent,101,train
397ad0271a3bd5af48f33c472baa93716a9e5b990e24b4d7cffa9d464ce1dedf,29,amp,independent,102,test
8b15a6b7f08db682e21ce116acfa56e6ce08d6d9fbb4498934ec62f8805eae7d,20,amp,independent,103,train
22f7dea5abaf2f6ca03072e78a20481dc8adfcb4a2e1f9c1d370a0bf5b6d4145,11,amp,independent,104,train
df2b0dc0740aebdac6ec7a3993f2f310660fe29a3499c7e7e71fb93cc3edda70,17,amp,independent,105,train
1a7bbc9b87b56c3e1b615c2b248b15acc7cfdc2df433ddd89c723ecbd7fda379,19,amp,independent,106,validation
375be5770348bbb1d1d1011812fd9f714279d7aa0284866c6fe79d8e23948a8b,28,amp,independent,107,train
c7931e1a76d2415b180b5ef2ebd839e1f71cd415a3247ad3670508e502e522fb,13,amp,independent,108,train
251883c7d2492ac6dc4878a7187d85be8c788092b43712322796c0d6194e2091,21,amp,independent,109,train
ae431f8f7ba41dfc2083c45897c93afcd42c8b9520e8100767ce72a1e796d2b4,13,amp,independent,110,train
c4e3861aa8264a3f36715442242af68a47105b89d9ba775f85d40b86a40dde50,24,amp,independent,25,test
b854f2306ea6b799aeb40269220b7b7b47ccc8685784026fa1065bf4e00a59e5,24,amp,independent,25,test
281bbe7cb4edbaf2eb92cce0be6fd07aa939351cd2e020301488cf07c6a7f9bb,13,amp,independent,111,train
5dc2b2594445cbbdb8f43894de96172ad1ca5d3b86a9f6b43bb7c5170a90130a,26,amp,independent,112,train
11000a224a0dd7b6d3d2528dc1c9a3a6b74d1e82cd0ac99a27dd3909672ac773,24,amp,independent,113,train
214e266a02fc6e72726686fc29e085e9ed0ddd9fac0b1b4f0f51450da8a2ea07,24,amp,independent,114,train
33c41ae1dd93531623dce41da84c5ea59a9b730c114e243ebc54ab03bde7ade2,28,amp,independent,44,test
7313c861b9b04f9f3f0d8d900a55ff1ac15adc5c20621b2235503d62fda9b6b2,28,amp,independent,115,train
9c279c59207f45f79ebad659fd92adc2926fdd20cd605e38686d2e849ddaed84,28,amp,independent,116,train
d8d38325afed0e6900ce3f98af7a10e2eccd5d4ab36efcea1d2bdada8148a31e,21,amp,independent,117,train
de025a47203409540a6fe4a3dfd1e30b9927f0a6ce64203e0a2b7c9a27135b52,28,amp,independent,118,train
e8b37ace75ca4c50ca78f71de47fe5d3989bc33f04932838153803c41af121a2,27,amp,independent,119,train
6f373011415aab5d13db7206c86977b4ded3552163e3d2c5de568f55ce45f825,24,amp,independent,120,test
3cda94ef238fde8d4930c86bb09c95ecd5492f5e48aaa46af51591b89b3d83a5,22,amp,independent,121,train
abcf540c81de64a6c7f388b01a28073d4514cd83f703ba6392eac8c389363320,15,amp,independent,122,train
9a700956593fe2e64287547fc858c9c5980846b109ec143402ba77a82b4846e4,22,amp,independent,123,train
93ebc43afa4ed5dfdd0cc622105de4b818df8ebaf96babd512ac8dcb4fc2c04b,12,amp,independent,124,test
7dc8edaa614846dea50e869258db4af6f5eaf218b1b8de789a5162b3676cba9a,24,amp,independent,125,train
9f1d92449e25b4792a71110513f4dcb9c0120600a8b32c097ac485ca017d9b4d,13,amp,independent,126,train
7906d422c8886eb2096d770b0057f8d3fc51a29747ae6e09ba6178da06f4da7f,13,amp,independent,127,validation
0e79bcc27523fe93ff2720534b995f888aed8ff369a3d5473e391b57fe60483b,13,amp,independent,127,validation
529692042e20ddc396d7b2d14c123e7fdb587d2b083ee4633c6facd2e5938eb7,13,amp,independent,127,validation
eff02b791d6d60edb3aebf339e7819ffb8e6f7823453bdb0e162fd2e668681f1,13,amp,independent,127,validation
0f0ab540690741b945ebac0abea1c2d4413a68441af16292c43a82a3cf51995d,13,amp,independent,127,validation
b92d6872496dc8263a3ea7b645da39f33010b75f69e5b9f1ed2fd7e6841cb402,29,amp,independent,128,train
853488ecc3854cbf2cd7325dc5c7c283be38c90339dbda5daa3af2b6f8105358,15,amp,independent,129,train
d109526ef5b890b80697cd3cd8944f2ee794444705879a789d054b1317d35c8d,18,amp,independent,130,train
cb4ddb14ef67f2d561101a012e366d07b34492bd02a78e09eaf2a2ce8da57c2d,9,amp,independent,131,train
5b2233afa953f702e757480f518e018e7093eb209c32061c9c9556495e1dd0f6,8,amp,independent,132,train
822a0a6021ac2d8dff7612dbe23920adab16e688ee97816d6924a8c705d12b69,15,amp,independent,133,train
5b9cd3b675802f0bff60380e9d2b88c857d4ff271ab9d0a5222febe0d7ce6c3e,15,amp,independent,134,test
969e6282fe0f63e3854152a5bf7dcccd4c18ca423763a26e28b59472c62b6c93,27,amp,independent,135,train
b081a7f7984ac768a261c27fd0b29dfd9cc6b155aecea88dafb84086c432d65d,20,amp,independent,136,train
6fd0f3fb3b3c6712d200e4da68236d97d23055d75baf523f25068640f49f3609,23,amp,independent,137,train
ba376c9a76a463be87b30d89fdae7212028b66f0ccc4291b67a5bd4f15d05c19,19,amp,independent,138,train
cca189966558961f02123fffa84a67a7ceeef322ad399a509aa7eab01501ac35,10,amp,independent,139,test
05ad12de0f362905e96a901a86a1b3a5d1247f02e2d7a2e5facb1e439ee99667,29,amp,independent,140,train
4c02492740f7ec699ce7ac6b1edfd33a6285b7712c89ab3127d98e1ef715397f,18,amp,independent,141,train
b63a7d649d47768756410d3c2a449d393dd08256f7ef587f59fa623dbc7d032e,30,amp,independent,142,train
996115e20df73046aaf2e7603fc74a41fb5abf55515d798ac124b8150914a7a6,14,amp,independent,143,train
16597785316702936d561a74bfc553d576fdfed4b3e2ab81bcc255fb3f063431,11,amp,independent,144,test
377429e76a5d28a79513ae209c01eddf9f588fbca719c276ec59327da4b1cf51,6,amp,independent,145,train
8ad9bb9e5971b53a141efaa8be05d4c88b8ca333776091e19ba74b1b5ca2defe,6,amp,independent,146,train
d6be0a1a750cfc4975cf2f3f5155e749b5a6bac26756faf19f5659065ef7e684,9,amp,independent,147,train
8bf32c0f1a465e7d0bfe3a24a54a1d2db5976a5d84206fec7babc24e2f96ed0c,23,amp,independent,148,train
642499bb823395212f50248da276d8cb10dc3884801ab259865147645216d2b5,12,amp,independent,149,test
71f0cf805aeef70acf19ee72f1a63c3f4dff0092290a29049bf126b978a73144,30,amp,independent,150,train
e5d88064e6d5bb0d0347eae2baa87365ca15e8814c403a672bb31db10ffdc6ae,30,amp,independent,150,train
88f486c425fe38efa7766e9829b2f528cab40453d62997b8b76f842fccda7484,30,amp,independent,150,train
ca4867d063227b2d28e987ecc3ae5ef3d89886f7dc7d397233dff06d43da7993,9,amp,independent,151,train
9ab3c2e62663f14b38bb517b06c1e16ee8031d3d869d0d4b241950acd3ccc630,30,amp,independent,152,test
12b20d6fdacdebeb3396cd70a8e907f30ef7becc71db7f33612b5dc5211ccbbf,14,amp,independent,153,train
644b8306d561ac474530e13d197ee3ecef08289cf571eecd00e9dbeba6c26449,14,amp,independent,154,train
537a79f38a4fcf4dd1154ca031cbf4a9bb249578d3a6e020bf713db07bf6ed63,25,amp,independent,155,train
36515b6dc563fcfdf122743f1250176d41eb14eb72022bcfc849a6c0c53fe04c,25,amp,independent,155,train
e347a7e0b963ee94ffced28831be90856028058cd9b82d4e9bff9a7c741f160c,13,amp,independent,156,train
89677cdec332c475fcc1ad98bdef79040955727d1007ed230199c1b47b94f5da,19,amp,independent,157,train
ddc466fb5731580d19f0b1d421c1f97781a909e9c0d1fa8a4148ff72ec7efe09,10,amp,independent,158,train
0ded2389be43d922051b35e570138e6eb16727f2a0a2857bc4b26427363635bb,20,amp,independent,159,train
86af5022f0818d966ed0a060480d21a16eceea6325d096e186217a3f0ae9bb59,16,amp,independent,160,train
ab4d2665e0c219298f0a9f113a1322379117a97e97354da3a890b1b68dd58e0a,20,amp,independent,159,train
16899adb4bf52e066b544cf483c4b0d2b302bee5814b92af6a4e7b18af1f54b7,14,amp,independent,161,train
f0c4a562c0944b203e88cb9f7baf00b89d0d3eb3647f20362bd58a897a6845db,20,amp,independent,159,train
ee32e468ba68990445206a1db294a2e37475ca1e60d96d687fb545580c81c9e5,20,amp,independent,159,train
dd4cf551bd69cef6c89d8531499b0d48834a2eaf6897041be624bddf5198d1ba,17,amp,independent,162,train
ba95b4f4da98b37e0d6b60703cd8137e7e45fa7f2b1df1abe07516cb9bd1d2a5,15,amp,independent,163,train
e46c317218e61f7d39d04aa0b1920cdc60d9fa0e229dd99efdadc32f01afdf83,13,amp,independent,164,train
583841f86fd3d5ed1d413a5b88706577736dcbd8142ae66820c58c0f7f8118fe,24,amp,independent,165,train
71feb4e4a39d67a07d18b08fc53f822cd04662e04639802b42e9f49f318004b8,24,amp,independent,166,train
40ff2217adf19839faea20d168e4620bb3e59212d4d24bad52f7488d691b659c,24,amp,independent,167,train
1a3939daf14831c3e6d88d8a51a6990ef586ca84f05fbd06a0f595e95dbbc660,12,amp,independent,168,train
a19a9da14965776baa502d1062c82e0282ca56a95d82cdeb0d5602c00d26bfdc,23,amp,independent,169,train
cdeb0d0ff491d3916a0869cd43007d85f76a3cca2020f143968cd38363d02e2a,26,amp,independent,170,test
43cbddd71a934227b15af608d222cf7fd229807255e94a79a9c21d557f7111e3,23,amp,independent,3,train
68ee9afca138f101094bb3669abb8a216bab7a3c846f3348333ff1e9c6e79cca,23,amp,independent,3,train
9d62b810de52e7185ce1eb7148f26016fd5552594b6b1bc9ea316c24d75ba042,23,amp,independent,171,train
41a77092a66383f269710bade15e86fb47176f47efb1d466dae887a7d606b434,23,amp,independent,171,train
e02063f6525cb7ec7b12fdf42e72e2769f7663c35efaa6c5a14b6e3ce3c5b222,23,amp,independent,3,train
38a30970edc840a1af247e0c5bad573bb889c21e349f0b9649071a56f5c198d7,23,amp,independent,3,train
3ce1bc382cad0208401a91a193bf237b2a6b4a6f0fe1f194bab7654aca7ee26a,24,amp,independent,172,train
d959a1b8eee3e159bd06f892feb279f9d062b8082c7f25e9ac8fff1fd5f237ec,12,amp,independent,173,train
e7987f501baa95de7c6ba2959c0ec5123468d2e8cf542403395ed15e5ee5b289,12,amp,independent,173,train
e3c9f1f72c1730f5d468647b496aee260f7aea6161a2a593f164a504f1ad1f71,28,amp,independent,44,test
1d0d5f3e404af7e042b2d73fecc0dcf2a54c74d3596c5e49de92c60e1705ad7a,21,amp,independent,174,test
9dcd9e057c686592c5fc7ba19b9a1d6889d9971d73d20312c1e6d69885a1cc2b,21,amp,independent,174,test
1bc4708a525880261e9f7405a91c8e7ea6b74d058abe4cabf228e077ae576113,23,amp,independent,3,train
2beea87c03afc68763a753eec10b5408b7fbd2eeffb29dc76d3edf38fb3316fa,28,amp,independent,175,test
4b572f6fb73a3ef59ebf5a1308316fc166dfa27638be9de807952ae8304b9720,28,amp,independent,175,test
db02b7f27c273afbe8c81e4cddeb327c90a9212ad15cc08a0f327761d27cc1b6,15,amp,independent,176,test
23960ec754caf1e0fe76c0afca0789398b5a132d11d7547752773c79feb325d2,15,amp,independent,176,test
95da3c76e2b6ff6757eb118bbbc73314e823239d92bc1e464377228fe1b05590,15,amp,independent,176,test
5bde81c615aff3b05c55732e418d583f4a0c31c5e4e969f9e6554fc94dc2813c,15,amp,independent,176,test
4b6ead9e08bb250787dece30a80405eada0366742bff100d5c8d885010529941,15,amp,independent,176,test
5211c271a63710157076d7896e375425014b477ed4ffe28bbdb6be2e4cdc1b2a,15,amp,independent,176,test
2ccdf319f562974b5fb9a1617844695d53eaf4976267965dec44dc834ea7a2be,15,amp,independent,176,test
9ffedb04fa9486feb5485df3fbd9e014f468e08c75073a40d03b61d449fae794,15,amp,independent,176,test
098421bfb00ab2d1207a1eadb2466a19f68b2e7cb8243a645eee393a369426d1,15,amp,independent,176,test
60f29d4a4f6114b1927ebf67ef4f2e1f3e7d44aafff676bc3499e1d42b3cbce8,15,amp,independent,176,test
ed35756453f7c9517aa8f395b84ae74116d93848bc86ed86465b24d4f57e3c9a,20,amp,independent,177,train
959e51d550f9dd67e50c6d193ab8bbdd54e93ae98180e962d982c8be877b1a67,15,amp,independent,122,train
36290742f04d6181824df91b425157998dfa5a2d55c43406d822ac89a83668b5,23,amp,independent,178,test
d6fa96fca2635c7eb7cfaf243115156c0029400e775309addc2c8dcf06d2be73,24,amp,independent,179,train
c83ed6a4a38ffd2aebddbd1f22dd7211cf61fcd4d919cc8af611ba3ebf46125a,15,amp,independent,176,test
08c143a2d87c7b29a8649fcdbd9cb0b6b9cdc20c82f3cd42e5d391173c6db994,30,amp,independent,180,train
3679650c20140c2576357afbfe7d7d672bbfc0182dcdc099aa45d5f93ec83179,23,amp,independent,181,train
71e8fd3dee69a62aa595badb0daff1e1db6593095f54e3ae8973196489d4928d,18,amp,independent,182,train
6330ee2da2afd89419ca20f821ea4ae5d155e5349b2a681d84cc23924329f236,25,amp,independent,155,train
86c32e0dd264cb07ede8f2176c3727f804aa320832cc84509ce8bd5627bdbb5f,25,amp,independent,155,train
a262ee890cb114358bdbb5bbc2c7ac3b5a25cb86e6873c8eca9f95a2de615f80,15,amp,independent,183,train
7d48f85014ff51615cfddde5caad628222ff65ac877e8a6f2297958cbd14fec5,13,amp,independent,127,validation
ba0ccbfbbf35c0b7bdcaccd5f8b4a642738612e2d90d98891978e2aba2d7d664,13,amp,independent,127,validation
d266e5a5acf5f3a4a9507f3173b5e9fc4de257f94206e2296f4cdfb50142e4c5,13,amp,independent,127,validation
ef797f10c8ad9b7091ee5483ed9331b05a45bc161f6f4d4778d9060a66019307,13,amp,independent,127,validation
187a23d07e0254e8d7f965ed1e997255cb45400cab10eecc6a7cc7025274977c,13,amp,independent,127,validation
5e79a9ef68c96c5911123bb8397ae2b5907b4c4ca2b632423f23f422dab04d06,13,amp,independent,127,validation
6747ffb65623cce8e9197f81fc9c9a37b39b397a85b192ad718d94629a200b34,13,amp,independent,127,validation
